,Movie Title,ggg,Plot,img
332,Shor in the City,"Crime, Drama","cricket the sport, watching tv, statue of ganesh the hindu deity, novel, model, gun, bar dancer, nightclub, printing press, piracy, arranged marriage, girlfriend, boyfriend girlfriend relationship, engagement ring, husband wife relationship, fashion model, arms dealer, drug dealer, revolver, assault rifle, rifle, kalashnikov, slum life, slum lord, slum, extortion, bribery, bribe, cricket bat, mumbai india, crime gone awry, on the run, crime boss, gangster, redemption, heist gone wrong, bank heist, heist, stabbed in the stomach, stabbing, revenge murder, revenge, protection racket, deal, killed with a gun, shot with a gun, gun violence, gun held to one's head",https://m.media-amazon.com/images/M/MV5BNzQwNzA2ZTEtNjM0MC00ZTQ1LWE4MTUtN2M3MDEyMWM5MzdkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_
333,Bawarchi,"Comedy, Musical, Drama","cook, argument, dysfunctional family, wrestling, truth, burglary, philanthropist, happiness, song, tea, fast motion scene, cooking, kitchen, philosophy, mysterious stranger, stranger, alcoholic, drinking, school, newspaper article, newspaper, office, jewelry, trunk, morning, servant, dancing, schoolteacher, orphan, husband wife relationship, brother brother relationship, family relationships, patriarch, joint family, house, opening narration, no opening credits, genius, solidarity, compassion, dance teacher, dance contest, alcohol, love, humiliation, title spoken by character",https://m.media-amazon.com/images/M/MV5BMTg5NDIyNzAwOV5BMl5BanBnXkFtZTgwMjk3ODM3NDE@._V1_
334,B.A. Pass,"Crime, Drama, Thriller","playing chess, older woman seduces younger man, cheating wife, gay rape, new delhi india, undressing, sex on couch, sex while wearing a bra, extramarital affair, older woman younger man sex, cuckolded husband, male prostitute, new delhi, bra, cowgirl sex position, woman on top sex, cunnilingus, red bra, bare chested male, sex in a chair, sex on a chair, purple bra, standing doggystyle sex position, standing doggystyle sex, wristwatch, orphan, cemetery, cooking, kitchen, cigarette smoking, colored fingernails, painted fingernails, red fingernails, bicycle, riding a bicycle, armchair, couch, mobile phone, telephone call, cheating, long hair, long haired woman, long haired female, ring, newspaper, reading a newspaper, rain, raining, umbrella, lighting a cigarette, hotel, cross necklace, jeans, blue jeans, ambulance, black bra, rear entry sex, sunglasses, woman wears sunglasses, driving a car, flashlight, breakfast, police, cell phone, sex in a bed, man reads a newspaper, man with a beard, kiss, neo noir, femme fatale, kissing while having sex, sex scene, infidelity, betrayal, gigolo, sexuality, college student, director also cinematographer, punctuation in title, acronym in title, independent film",https://m.media-amazon.com/images/M/MV5BNmExYjEzZDMtNTdlMi00MTBmLWJhYWUtNGI1NWQyY2I3MTg1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_
335,Ungli,"Crime, Drama, Thriller","gang, vigilante gang, black comedy, corrupt cop, police, corruption, auto rickshaw, friendship, vigilantism",https://m.media-amazon.com/images/M/MV5BZTNmZTcyMWYtMTVhMy00YWI5LTg3MmEtMTBmZjAxNWE1YTU5XkEyXkFqcGdeQXVyMTAxMzUyODQ1._V1_
336,I Am Kalam,"Comedy, Drama, Family","caste, caste system, india, child labor, delhi, rich boy poor boy relationship, friendship between boys, school uniform, camel, rajasthan, tea service, making tea, drinking tea, chai, chai tea, speaking hindi, speaking french, dhaba, working child, bollywood, child protagonist, reference to a.p.j. abdul kalam",https://m.media-amazon.com/images/M/MV5BMjUzMjE1ODA4MV5BMl5BanBnXkFtZTcwNDA0MDI1OQ@@._V1_
337,Phillauri,"Comedy, Drama, Fantasy",tree,https://m.media-amazon.com/images/M/MV5BNjM1NDYyOGItZGYzNi00ZDkwLWFiMDItYTAzYWQ0YjZhMDIyXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_
338,A Flying Jatt,"Action, Adventure, Comedy","fantasy superhero, superhero",https://m.media-amazon.com/images/M/MV5BY2Q1ZDQ4ZTAtZjY5OS00MjExLWFhYmQtYjczNGE1ZGQ2ZWQwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_
339,Filmistaan,Comedy,"terrorist, rajasthan, bollywood, border crossing",https://m.media-amazon.com/images/M/MV5BMGVmYTI1MjQtNTViMC00YjFiLWExYzctNTY5ZWI0MTJiYjczXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_
340,Haraamkhor,"Drama, Romance","teenage sexuality, male teacher female student sex, male teacher female student affair, india, coming of age, cheating husband, womanizer, losing virginity",https://m.media-amazon.com/images/M/MV5BYWIwM2M5NGUtYzI2Yy00Y2RiLWIzYzAtMzIyNDNiZGI0ODZmXkEyXkFqcGdeQXVyMjM2Mzc1NjI@._V1_
341,Happy Ending,sorry,sorry,https://m.media-amazon.com/images/M/MV5BZjQzOGMxMjAtNjcyMi00ZjlhLTkxZDgtNmEzNTA1MTVhNjFmXkEyXkFqcGdeQXVyNjQyNTA2NDA@._V1_
